Id,Label
BELLE,Belle
DAVID,Charming
EMMA,Emma
HENRY,Henry
REGINA,Evil Queen
RUMPLE,Rumplestiltskin
SNOW,Snow White
PINOCCHIO,Pinocchio
JIMINY,Jiminy Cricket
HUNTSMAN,Huntsman
RUBY,Red Riding Hood
MIRROR,Magic Mirror
GRANNY,Granny
GRUMPY,Grumpy
GEORGE,King George
ABIGAIL,Abigail
CINDERELLA,Cinderella
THOMAS,Prince Thomas
WHALE,Dr. Whale
GEPPETTO,Geppetto
BLUE,Blue Fairy
JEFFERSON,Jefferson
MALEFICENT,Maleficent
PRINCE_HENRY,Prince Henry
KING,The King (Cinderella)
MARTIN,Martin
MYRNA,Myrna
RUTH,Ruth
MIDAS,King Midas
ZOSO,Zoso
BEALFIRE,Bealfire
HORDOR,Hordor
BLIND_WITCH,Blind Witch
HANSEL,Hansel
GRETEL,Gretel
WOODCUTTER,Woodcutter
THATCHER,Dr. Thatcher
STEALTHY,Steathy
LEOPOLD,King Leopold
MAURICE,Sir Maurice
NOVA,Nova
TOMKINS,Mayor Tomkins
PETER,Peter
DANIEL,Daniel
CORA,Cora
AURORA,Aurora
MULAN,Mulan
PRINCE_PHILIP,Prince Philip
WRAITH,Wraith
LANCELOT,Lancelot
HOOK,Hook
MILAH,Milah
SMEE,Smee
IGOR,Igor
VICTOR_FRANKENSTEIN,Victor Frankenstein
ANTON,Anton
ANITA_LUCAS,Anita Lucas
QUINN,Quinn
CLAUDE,Claude 
GREG_MENDELL,Greg Mendell
ALPHONSE_FRANKENSTEIN,Alphonse Frankenstein
GERHARDT_FRANKENSTEIN,Gerhardt Frankenstein
ABRAHAM,Abraham
ARLO,Arlo
JACK,Jack
SEER,Seer
QUEEN_EVA,Queen Eva
JOHANNA,Johanna
TAMARA,Tamara
KING_XAVIER,King Xavier
KURT_FLYNN,Kurt Flynn
THE_DRAGON,The Dragon
SHERIFF_OF_NOTTINGHAM,Sheriff of Nottingham
MARIAN,Marian
ROBIN_HOOD,Robin Hood
JOHN_DARLING,John Darling
MICHAEL_DARLING,Michael Darling
THE_SHADOW,The Shadow
WENDY,Wendy Darling
FELIX,Felix 
