Source,Target,Weight,Season
DAVID,GREG_MENDELL,,5
DAVID,ALPHONSE_FRANKENSTEIN,,5
DAVID,GERHARDT_FRANKENSTEIN,,5
DAVID,ABRAHAM,,5
DAVID,ARLO,,5
DAVID,JACK,,5
DAVID,SEER,,5
DAVID,QUEEN_EVA,,5
DAVID,JOHANNA,,5
DAVID,TAMARA,,5
DAVID,KING_XAVIER,,5
DAVID,KURT_FLYNN,,5
DAVID,THE_DRAGON,,5
DAVID,SHERIFF_OF_NOTTINGHAM,,5
DAVID,MARIAN,,5
DAVID,ROBIN_HOOD,,5
DAVID,JOHN_DARLING,,5
DAVID,MICHAEL_DARLING,,5
DAVID,THE_SHADOW,,5
DAVID,WENDY,,5
DAVID,FELIX,,5
DAVID,TINKER_BELL,,5
DAVID,LIAM,,5
DAVID,DEVIN,,5
DAVID,ARIEL,,5
DAVID,URSULA,,5
DAVID,PRINCE_ERIC,,5
DAVID,ADOPTION_AGENT,,5
DAVID,MALCOLM,,5
DAVID,SHADOW,,5
DAVID,WALSH,,5
DAVID,RAPUNZEL,,5
DAVID,LUMIERE,,5
DAVID,BLACK_BEARD,,5
DAVID,JONATHAN,,5
DAVID,PRINCE_LEOPOLD,,5
DAVID,GLINDA,,5
DAVID,DOROTHY,,5
DAVID,ANNA,,5
DAVID,GERDA,,5
DAVID,GRAND_PABBIE,,5
DAVID,KRISTOFF,,5
DAVID,SVEN,,5
DAVID,BO_PEEP,,5
DAVID,INGRID,,5
DAVID,HANS,,5
DAVID,WILL_SCARLET,,5
DAVID,APPRENTICE,,5
DAVID,LILY_PAGE,,5
DAVID,LILYS_ADOPTIVE_FATHER,,5
DAVID,COLETTE,,5
DAVID,DUKE_OF_WESELTON,,5
DAVID,HELGA,,5
DAVID,MADAME_FAUSTINA,,5
DAVID,CRUELLA_DE_VIL,,5
DAVID,KING_STEFAN,,5
DAVID,POSEIDON,,5
DAVID,ISAAC_HELLER,,5
DAVID,MADELINE,,5
DAVID,MERLIN,,5
DAVID,KING_ARTHUR,,5
DAVID,SIR_KAY,,5
DAVID,MERIDA,,5
DAVID,PERCIVAL,,5
DAVID,GUINEVERE,,5
DAVID,VIOLET_MORGAN,,5
DAVID,GRIF,,5
DAVID,SIR_HANK_MORGAN,,5
DAVID,NIMUE,,5
DAVID,LORD_MACINTOSH,,5
DAVID,VORTIGAN,,5
DAVID,QUEEN_ELINOR,,5
DAVID,KING_FERGUS,,5
DAVID,WITCH,,5
DAVID,BRENNAN_JONES,,5
DAVID,LIAM,,5
DAVID,HADES,,5
DAVID,HERCULES,,5
DAVID,MEGARA,,5
DAVID,FENDRAKE_THE_HEALER,,5
DAVID,CAPTAIN_SILVER,,5
