Source,Target,Weight,Season
BELLE,DAVID,,3
BELLE,EMMA,,3
BELLE,HENRY,,3
BELLE,REGINA,,3
BELLE,RUMPLE,,3
BELLE,SNOW,,3
BELLE,HOOK,,3
BELLE,PAN,,3
BELLE,ZELENA,,3
BELLE,PINOCCHIO,,3
BELLE,JIMINY,,3
BELLE,HUNTSMAN,,3
BELLE,RUBY,,3
BELLE,MIRROR,,3
BELLE,GRANNY,,3
BELLE,GRUMPY,,3
BELLE,GEORGE,,3
BELLE,ABIGAIL,,3
BELLE,CINDERELLA,,3
BELLE,THOMAS,,3
BELLE,WHALE,,3
BELLE,GEPPETTO,,3
BELLE,BLUE,,3
BELLE,JEFFERSON,,3
BELLE,MALEFICENT,,3
BELLE,PRINCE_HENRY,,3
BELLE,KING,,3
BELLE,MARTIN,,3
BELLE,MYRNA,,3
BELLE,RUTH,,3
BELLE,MIDAS,,3
BELLE,ZOSO,,3
BELLE,BEALFIRE,,3
BELLE,HORDOR,,3
BELLE,BLIND_WITCH,,3
BELLE,HANSEL,,3
BELLE,GRETEL,,3
BELLE,WOODCUTTER,,3
BELLE,THATCHER,,3
BELLE,STEALTHY,,3
BELLE,LEOPOLD,,3
BELLE,MAURICE,,3
BELLE,NOVA,,3
BELLE,TOMKINS,,3
BELLE,PETER,,3
BELLE,DANIEL,,3
BELLE,CORA,,3
BELLE,AURORA,,3
BELLE,MULAN,,3
BELLE,PRINCE_PHILIP,,3
BELLE,WRAITH,,3
BELLE,LANCELOT,,3
BELLE,HOOK,,3
BELLE,MILAH,,3
BELLE,SMEE,,3
BELLE,IGOR,,3
BELLE,VICTOR_FRANKENSTEIN,,3
BELLE,ANTON,,3
BELLE,ANITA_LUCAS,,3
BELLE,QUINN,,3
BELLE,CLAUDE,,3
BELLE,GREG_MENDELL,,3
BELLE,ALPHONSE_FRANKENSTEIN,,3
BELLE,GERHARDT_FRANKENSTEIN,,3
BELLE,ABRAHAM,,3
BELLE,ARLO,,3
BELLE,JACK,,3
BELLE,SEER,,3
BELLE,QUEEN_EVA,,3
BELLE,JOHANNA,,3
BELLE,TAMARA,,3
BELLE,KING_XAVIER,,3
BELLE,KURT_FLYNN,,3
BELLE,THE_DRAGON,,3
BELLE,SHERIFF_OF_NOTTINGHAM,,3
BELLE,MARIAN,,3
BELLE,ROBIN_HOOD,,3
BELLE,JOHN_DARLING,,3
BELLE,MICHAEL_DARLING,,3
BELLE,THE_SHADOW,,3
BELLE,WENDY,,3
BELLE,FELIX,,3
BELLE,TINKER_BELL,,3
BELLE,LIAM,,3
BELLE,DEVIN,,3
BELLE,ARIEL,,3
BELLE,URSULA,,3
BELLE,PRINCE_ERIC,,3
BELLE,ADOPTION_AGENT,,3
BELLE,MALCOLM,,3
BELLE,SHADOW,,3
BELLE,WALSH,,3
BELLE,RAPUNZEL,,3
BELLE,LUMIERE,,3
BELLE,BLACK_BEARD,,3
BELLE,JONATHAN,,3
BELLE,PRINCE_LEOPOLD,,3
BELLE,GLINDA,,3
BELLE,DOROTHY,,3
DAVID,EMMA,,3
DAVID,HENRY,,3
DAVID,REGINA,,3
DAVID,RUMPLE,,3
DAVID,SNOW,,3
DAVID,HOOK,,3
DAVID,PAN,,3
DAVID,ZELENA,,3
DAVID,PINOCCHIO,,3
DAVID,JIMINY,,3
DAVID,HUNTSMAN,,3
DAVID,RUBY,,3
DAVID,MIRROR,,3
DAVID,GRANNY,,3
DAVID,GRUMPY,,3
DAVID,GEORGE,,3
DAVID,ABIGAIL,,3
DAVID,CINDERELLA,,3
DAVID,THOMAS,,3
DAVID,WHALE,,3
DAVID,GEPPETTO,,3
DAVID,BLUE,,3
DAVID,JEFFERSON,,3
DAVID,MALEFICENT,,3
DAVID,PRINCE_HENRY,,3
DAVID,KING,,3
DAVID,MARTIN,,3
DAVID,MYRNA,,3
DAVID,RUTH,,3
DAVID,MIDAS,,3
DAVID,ZOSO,,3
DAVID,BEALFIRE,,3
DAVID,HORDOR,,3
DAVID,BLIND_WITCH,,3
DAVID,HANSEL,,3
DAVID,GRETEL,,3
DAVID,WOODCUTTER,,3
DAVID,THATCHER,,3
DAVID,STEALTHY,,3
DAVID,LEOPOLD,,3
DAVID,MAURICE,,3
DAVID,NOVA,,3
DAVID,TOMKINS,,3
DAVID,PETER,,3
DAVID,DANIEL,,3
DAVID,CORA,,3
DAVID,AURORA,,3
DAVID,MULAN,,3
DAVID,PRINCE_PHILIP,,3
DAVID,WRAITH,,3
DAVID,LANCELOT,,3
DAVID,HOOK,,3
DAVID,MILAH,,3
DAVID,SMEE,,3
DAVID,IGOR,,3
DAVID,VICTOR_FRANKENSTEIN,,3
DAVID,ANTON,,3
DAVID,ANITA_LUCAS,,3
DAVID,QUINN,,3
DAVID,CLAUDE,,3
DAVID,GREG_MENDELL,,3
DAVID,ALPHONSE_FRANKENSTEIN,,3
DAVID,GERHARDT_FRANKENSTEIN,,3
DAVID,ABRAHAM,,3
DAVID,ARLO,,3
DAVID,JACK,,3
DAVID,SEER,,3
DAVID,QUEEN_EVA,,3
DAVID,JOHANNA,,3
DAVID,TAMARA,,3
DAVID,KING_XAVIER,,3
DAVID,KURT_FLYNN,,3
DAVID,THE_DRAGON,,3
DAVID,SHERIFF_OF_NOTTINGHAM,,3
DAVID,MARIAN,,3
DAVID,ROBIN_HOOD,,3
DAVID,JOHN_DARLING,,3
DAVID,MICHAEL_DARLING,,3
DAVID,THE_SHADOW,,3
DAVID,WENDY,,3
DAVID,FELIX,,3
DAVID,TINKER_BELL,,3
DAVID,LIAM,,3
DAVID,DEVIN,,3
DAVID,ARIEL,,3
DAVID,URSULA,,3
DAVID,PRINCE_ERIC,,3
DAVID,ADOPTION_AGENT,,3
DAVID,MALCOLM,,3
DAVID,SHADOW,,3
DAVID,WALSH,,3
DAVID,RAPUNZEL,,3
DAVID,LUMIERE,,3
DAVID,BLACK_BEARD,,3
DAVID,JONATHAN,,3
DAVID,PRINCE_LEOPOLD,,3
DAVID,GLINDA,,3
DAVID,DOROTHY,,3
EMMA,HENRY,,3
EMMA,REGINA,,3
EMMA,RUMPLE,,3
EMMA,SNOW,,3
EMMA,HOOK,,3
EMMA,PAN,,3
EMMA,ZELENA,,3
EMMA,PINOCCHIO,,3
EMMA,JIMINY,,3
EMMA,HUNTSMAN,,3
EMMA,RUBY,,3
EMMA,MIRROR,,3
EMMA,GRANNY,,3
EMMA,GRUMPY,,3
EMMA,GEORGE,,3
EMMA,ABIGAIL,,3
EMMA,CINDERELLA,,3
EMMA,THOMAS,,3
EMMA,WHALE,,3
EMMA,GEPPETTO,,3
EMMA,BLUE,,3
EMMA,JEFFERSON,,3
EMMA,MALEFICENT,,3
EMMA,PRINCE_HENRY,,3
EMMA,KING,,3
EMMA,MARTIN,,3
EMMA,MYRNA,,3
EMMA,RUTH,,3
EMMA,MIDAS,,3
EMMA,ZOSO,,3
EMMA,BEALFIRE,,3
EMMA,HORDOR,,3
EMMA,BLIND_WITCH,,3
EMMA,HANSEL,,3
EMMA,GRETEL,,3
EMMA,WOODCUTTER,,3
EMMA,THATCHER,,3
EMMA,STEALTHY,,3
EMMA,LEOPOLD,,3
EMMA,MAURICE,,3
EMMA,NOVA,,3
EMMA,TOMKINS,,3
EMMA,PETER,,3
EMMA,DANIEL,,3
EMMA,CORA,,3
EMMA,AURORA,,3
EMMA,MULAN,,3
EMMA,PRINCE_PHILIP,,3
EMMA,WRAITH,,3
EMMA,LANCELOT,,3
EMMA,HOOK,,3
EMMA,MILAH,,3
EMMA,SMEE,,3
EMMA,IGOR,,3
EMMA,VICTOR_FRANKENSTEIN,,3
EMMA,ANTON,,3
EMMA,ANITA_LUCAS,,3
EMMA,QUINN,,3
EMMA,CLAUDE,,3
EMMA,GREG_MENDELL,,3
EMMA,ALPHONSE_FRANKENSTEIN,,3
EMMA,GERHARDT_FRANKENSTEIN,,3
EMMA,ABRAHAM,,3
EMMA,ARLO,,3
EMMA,JACK,,3
EMMA,SEER,,3
EMMA,QUEEN_EVA,,3
EMMA,JOHANNA,,3
EMMA,TAMARA,,3
EMMA,KING_XAVIER,,3
EMMA,KURT_FLYNN,,3
EMMA,THE_DRAGON,,3
EMMA,SHERIFF_OF_NOTTINGHAM,,3
EMMA,MARIAN,,3
EMMA,ROBIN_HOOD,,3
EMMA,JOHN_DARLING,,3
EMMA,MICHAEL_DARLING,,3
EMMA,THE_SHADOW,,3
EMMA,WENDY,,3
EMMA,FELIX,,3
EMMA,TINKER_BELL,,3
EMMA,LIAM,,3
EMMA,DEVIN,,3
EMMA,ARIEL,,3
EMMA,URSULA,,3
EMMA,PRINCE_ERIC,,3
EMMA,ADOPTION_AGENT,,3
EMMA,MALCOLM,,3
EMMA,SHADOW,,3
EMMA,WALSH,,3
EMMA,RAPUNZEL,,3
EMMA,LUMIERE,,3
EMMA,BLACK_BEARD,,3
EMMA,JONATHAN,,3
EMMA,PRINCE_LEOPOLD,,3
EMMA,GLINDA,,3
EMMA,DOROTHY,,3
HENRY,REGINA,,3
HENRY,RUMPLE,,3
HENRY,SNOW,,3
HENRY,HOOK,,3
HENRY,PAN,,3
HENRY,ZELENA,,3
HENRY,PINOCCHIO,,3
HENRY,JIMINY,,3
HENRY,HUNTSMAN,,3
HENRY,RUBY,,3
HENRY,MIRROR,,3
HENRY,GRANNY,,3
HENRY,GRUMPY,,3
HENRY,GEORGE,,3
HENRY,ABIGAIL,,3
HENRY,CINDERELLA,,3
HENRY,THOMAS,,3
HENRY,WHALE,,3
HENRY,GEPPETTO,,3
HENRY,BLUE,,3
HENRY,JEFFERSON,,3
HENRY,MALEFICENT,,3
HENRY,PRINCE_HENRY,,3
HENRY,KING,,3
HENRY,MARTIN,,3
HENRY,MYRNA,,3
HENRY,RUTH,,3
HENRY,MIDAS,,3
HENRY,ZOSO,,3
HENRY,BEALFIRE,,3
HENRY,HORDOR,,3
HENRY,BLIND_WITCH,,3
HENRY,HANSEL,,3
HENRY,GRETEL,,3
HENRY,WOODCUTTER,,3
HENRY,THATCHER,,3
HENRY,STEALTHY,,3
HENRY,LEOPOLD,,3
HENRY,MAURICE,,3
HENRY,NOVA,,3
HENRY,TOMKINS,,3
HENRY,PETER,,3
HENRY,DANIEL,,3
HENRY,CORA,,3
HENRY,AURORA,,3
HENRY,MULAN,,3
HENRY,PRINCE_PHILIP,,3
HENRY,WRAITH,,3
HENRY,LANCELOT,,3
HENRY,HOOK,,3
HENRY,MILAH,,3
HENRY,SMEE,,3
HENRY,IGOR,,3
HENRY,VICTOR_FRANKENSTEIN,,3
HENRY,ANTON,,3
HENRY,ANITA_LUCAS,,3
HENRY,QUINN,,3
HENRY,CLAUDE,,3
HENRY,GREG_MENDELL,,3
HENRY,ALPHONSE_FRANKENSTEIN,,3
HENRY,GERHARDT_FRANKENSTEIN,,3
HENRY,ABRAHAM,,3
HENRY,ARLO,,3
HENRY,JACK,,3
HENRY,SEER,,3
HENRY,QUEEN_EVA,,3
HENRY,JOHANNA,,3
HENRY,TAMARA,,3
HENRY,KING_XAVIER,,3
HENRY,KURT_FLYNN,,3
HENRY,THE_DRAGON,,3
HENRY,SHERIFF_OF_NOTTINGHAM,,3
HENRY,MARIAN,,3
HENRY,ROBIN_HOOD,,3
HENRY,JOHN_DARLING,,3
HENRY,MICHAEL_DARLING,,3
HENRY,THE_SHADOW,,3
HENRY,WENDY,,3
HENRY,FELIX,,3
HENRY,TINKER_BELL,,3
HENRY,LIAM,,3
HENRY,DEVIN,,3
