Source,Target,Weight,Season
BELLE,DAVID,,2
BELLE,EMMA,,2
BELLE,HENRY,,2
BELLE,REGINA,,2
BELLE,RUMPLE,,2
BELLE,SNOW,,2
BELLE,HOOK,,2
BELLE,PINOCCHIO,,2
BELLE,JIMINY,,2
BELLE,HUNTSMAN,,2
BELLE,RUBY,,2
BELLE,MIRROR,,2
BELLE,GRANNY,,2
BELLE,GRUMPY,,2
BELLE,GEORGE,,2
BELLE,ABIGAIL,,2
BELLE,CINDERELLA,,2
BELLE,THOMAS,,2
BELLE,WHALE,,2
BELLE,GEPPETTO,,2
BELLE,BLUE,,2
BELLE,JEFFERSON,,2
BELLE,MALEFICENT,,2
BELLE,PRINCE_HENRY,,2
BELLE,KING,,2
BELLE,MARTIN,,2
BELLE,MYRNA,,2
BELLE,RUTH,,2
BELLE,MIDAS,,2
BELLE,ZOSO,,2
BELLE,BEALFIRE,,2
BELLE,HORDOR,,2
BELLE,BLIND_WITCH,,2
BELLE,HANSEL,,2
BELLE,GRETEL,,2
BELLE,WOODCUTTER,,2
BELLE,THATCHER,,2
BELLE,STEALTHY,,2
BELLE,LEOPOLD,,2
BELLE,MAURICE,,2
BELLE,NOVA,,2
BELLE,TOMKINS,,2
BELLE,PETER,,2
BELLE,DANIEL,,2
BELLE,CORA,,2
BELLE,AURORA,,2
BELLE,MULAN,,2
BELLE,PRINCE_PHILIP,,2
BELLE,WRAITH,,2
BELLE,LANCELOT,,2
BELLE,MILAH,,2
BELLE,SMEE,,2
BELLE,IGOR,,2
BELLE,VICTOR_FRANKENSTEIN,,2
BELLE,ANTON,,2
BELLE,ANITA_LUCAS,,2
BELLE,QUINN,,2
BELLE,CLAUDE,,2
BELLE,GREG_MENDELL,,2
BELLE,ALPHONSE_FRANKENSTEIN,,2
BELLE,GERHARDT_FRANKENSTEIN,,2
BELLE,ABRAHAM,,2
BELLE,ARLO,,2
BELLE,JACK,,2
BELLE,SEER,,2
BELLE,QUEEN_EVA,,2
BELLE,JOHANNA,,2
BELLE,TAMARA,,2
BELLE,KING_XAVIER,,2
BELLE,KURT_FLYNN,,2
BELLE,THE_DRAGON,,2
BELLE,SHERIFF_OF_NOTTINGHAM,,2
BELLE,MARIAN,,2
BELLE,ROBIN_HOOD,,2
BELLE,JOHN_DARLING,,2
BELLE,MICHAEL_DARLING,,2
BELLE,THE_SHADOW,,2
BELLE,WENDY,,2
BELLE,FELIX,,2
DAVID,EMMA,,2
DAVID,HENRY,,2
DAVID,REGINA,,2
DAVID,RUMPLE,,2
DAVID,SNOW,,2
DAVID,HOOK,,2
DAVID,PINOCCHIO,,2
DAVID,JIMINY,,2
DAVID,HUNTSMAN,,2
DAVID,RUBY,,2
DAVID,MIRROR,,2
DAVID,GRANNY,,2
DAVID,GRUMPY,,2
DAVID,GEORGE,,2
DAVID,ABIGAIL,,2
DAVID,CINDERELLA,,2
DAVID,THOMAS,,2
DAVID,WHALE,,2
DAVID,GEPPETTO,,2
DAVID,BLUE,,2
DAVID,JEFFERSON,,2
DAVID,MALEFICENT,,2
DAVID,PRINCE_HENRY,,2
DAVID,KING,,2
DAVID,MARTIN,,2
DAVID,MYRNA,,2
DAVID,RUTH,,2
DAVID,MIDAS,,2
DAVID,ZOSO,,2
DAVID,BEALFIRE,,2
DAVID,HORDOR,,2
DAVID,BLIND_WITCH,,2
DAVID,HANSEL,,2
DAVID,GRETEL,,2
DAVID,WOODCUTTER,,2
DAVID,THATCHER,,2
DAVID,STEALTHY,,2
DAVID,LEOPOLD,,2
DAVID,MAURICE,,2
DAVID,NOVA,,2
DAVID,TOMKINS,,2
DAVID,PETER,,2
DAVID,DANIEL,,2
DAVID,CORA,,2
DAVID,AURORA,,2
DAVID,MULAN,,2
DAVID,PRINCE_PHILIP,,2
DAVID,WRAITH,,2
DAVID,LANCELOT,,2
DAVID,MILAH,,2
DAVID,SMEE,,2
DAVID,IGOR,,2
DAVID,VICTOR_FRANKENSTEIN,,2
DAVID,ANTON,,2
DAVID,ANITA_LUCAS,,2
DAVID,QUINN,,2
DAVID,CLAUDE,,2
DAVID,GREG_MENDELL,,2
DAVID,ALPHONSE_FRANKENSTEIN,,2
DAVID,GERHARDT_FRANKENSTEIN,,2
DAVID,ABRAHAM,,2
DAVID,ARLO,,2
DAVID,JACK,,2
DAVID,SEER,,2
DAVID,QUEEN_EVA,,2
DAVID,JOHANNA,,2
DAVID,TAMARA,,2
DAVID,KING_XAVIER,,2
DAVID,KURT_FLYNN,,2
DAVID,THE_DRAGON,,2
DAVID,SHERIFF_OF_NOTTINGHAM,,2
DAVID,MARIAN,,2
DAVID,ROBIN_HOOD,,2
DAVID,JOHN_DARLING,,2
DAVID,MICHAEL_DARLING,,2
DAVID,THE_SHADOW,,2
DAVID,WENDY,,2
DAVID,FELIX,,2
EMMA,HENRY,,2
EMMA,REGINA,,2
EMMA,RUMPLE,,2
EMMA,SNOW,,2
EMMA,HOOK,,2
EMMA,PINOCCHIO,,2
EMMA,JIMINY,,2
EMMA,HUNTSMAN,,2
EMMA,RUBY,,2
EMMA,MIRROR,,2
EMMA,GRANNY,,2
EMMA,GRUMPY,,2
EMMA,GEORGE,,2
EMMA,ABIGAIL,,2
EMMA,CINDERELLA,,2
EMMA,THOMAS,,2
EMMA,WHALE,,2
EMMA,GEPPETTO,,2
EMMA,BLUE,,2
EMMA,JEFFERSON,,2
EMMA,MALEFICENT,,2
EMMA,PRINCE_HENRY,,2
EMMA,KING,,2
EMMA,MARTIN,,2
EMMA,MYRNA,,2
EMMA,RUTH,,2
EMMA,MIDAS,,2
EMMA,ZOSO,,2
EMMA,BEALFIRE,,2
EMMA,HORDOR,,2
EMMA,BLIND_WITCH,,2
EMMA,HANSEL,,2
EMMA,GRETEL,,2
EMMA,WOODCUTTER,,2
EMMA,THATCHER,,2
EMMA,STEALTHY,,2
EMMA,LEOPOLD,,2
EMMA,MAURICE,,2
EMMA,NOVA,,2
EMMA,TOMKINS,,2
EMMA,PETER,,2
EMMA,DANIEL,,2
EMMA,CORA,,2
EMMA,AURORA,,2
EMMA,MULAN,,2
EMMA,PRINCE_PHILIP,,2
EMMA,WRAITH,,2
EMMA,LANCELOT,,2
EMMA,MILAH,,2
EMMA,SMEE,,2
EMMA,IGOR,,2
EMMA,VICTOR_FRANKENSTEIN,,2
EMMA,ANTON,,2
EMMA,ANITA_LUCAS,,2
EMMA,QUINN,,2
EMMA,CLAUDE,,2
EMMA,GREG_MENDELL,,2
EMMA,ALPHONSE_FRANKENSTEIN,,2
EMMA,GERHARDT_FRANKENSTEIN,,2
EMMA,ABRAHAM,,2
EMMA,ARLO,,2
EMMA,JACK,,2
EMMA,SEER,,2
EMMA,QUEEN_EVA,,2
EMMA,JOHANNA,,2
EMMA,TAMARA,,2
EMMA,KING_XAVIER,,2
EMMA,KURT_FLYNN,,2
EMMA,THE_DRAGON,,2
EMMA,SHERIFF_OF_NOTTINGHAM,,2
EMMA,MARIAN,,2
EMMA,ROBIN_HOOD,,2
EMMA,JOHN_DARLING,,2
EMMA,MICHAEL_DARLING,,2
EMMA,THE_SHADOW,,2
EMMA,WENDY,,2
EMMA,FELIX,,2
HENRY,REGINA,,2
HENRY,RUMPLE,,2
HENRY,SNOW,,2
HENRY,HOOK,,2
HENRY,PINOCCHIO,,2
HENRY,JIMINY,,2
HENRY,HUNTSMAN,,2
HENRY,RUBY,,2
HENRY,MIRROR,,2
HENRY,GRANNY,,2
HENRY,GRUMPY,,2
HENRY,GEORGE,,2
HENRY,ABIGAIL,,2
HENRY,CINDERELLA,,2
HENRY,THOMAS,,2
HENRY,WHALE,,2
HENRY,GEPPETTO,,2
HENRY,BLUE,,2
HENRY,JEFFERSON,,2
HENRY,MALEFICENT,,2
HENRY,PRINCE_HENRY,,2
HENRY,KING,,2
HENRY,MARTIN,,2
HENRY,MYRNA,,2
HENRY,RUTH,,2
HENRY,MIDAS,,2
HENRY,ZOSO,,2
HENRY,BEALFIRE,,2
HENRY,HORDOR,,2
HENRY,BLIND_WITCH,,2
HENRY,HANSEL,,2
HENRY,GRETEL,,2
HENRY,WOODCUTTER,,2
HENRY,THATCHER,,2
HENRY,STEALTHY,,2
HENRY,LEOPOLD,,2
HENRY,MAURICE,,2
HENRY,NOVA,,2
HENRY,TOMKINS,,2
HENRY,PETER,,2
HENRY,DANIEL,,2
HENRY,CORA,,2
HENRY,AURORA,,2
HENRY,MULAN,,2
HENRY,PRINCE_PHILIP,,2
HENRY,WRAITH,,2
HENRY,LANCELOT,,2
HENRY,MILAH,,2
HENRY,SMEE,,2
HENRY,IGOR,,2
HENRY,VICTOR_FRANKENSTEIN,,2
HENRY,ANTON,,2
HENRY,ANITA_LUCAS,,2
HENRY,QUINN,,2
HENRY,CLAUDE,,2
HENRY,GREG_MENDELL,,2
HENRY,ALPHONSE_FRANKENSTEIN,,2
HENRY,GERHARDT_FRANKENSTEIN,,2
HENRY,ABRAHAM,,2
HENRY,ARLO,,2
HENRY,JACK,,2
HENRY,SEER,,2
HENRY,QUEEN_EVA,,2
HENRY,JOHANNA,,2
HENRY,TAMARA,,2
HENRY,KING_XAVIER,,2
HENRY,KURT_FLYNN,,2
HENRY,THE_DRAGON,,2
HENRY,SHERIFF_OF_NOTTINGHAM,,2
HENRY,MARIAN,,2
HENRY,ROBIN_HOOD,,2
HENRY,JOHN_DARLING,,2
HENRY,MICHAEL_DARLING,,2
HENRY,THE_SHADOW,,2
HENRY,WENDY,,2
HENRY,FELIX,,2
REGINA,RUMPLE,,2
REGINA,SNOW,,2
REGINA,HOOK,,2
REGINA,PINOCCHIO,,2
REGINA,JIMINY,,2
REGINA,HUNTSMAN,,2
REGINA,RUBY,,2
REGINA,MIRROR,,2
REGINA,GRANNY,,2
REGINA,GRUMPY,,2
REGINA,GEORGE,,2
REGINA,ABIGAIL,,2
REGINA,CINDERELLA,,2
